weeks,next_weeks_weight,change
27-28,0.6603220214024941,0.298
26-27,0.6670993073304168,-0.061999999999999986
25-26,0.5776622960043922,0.07199999999999997
21-22,0.6165073714138714,-0.22600000000000003
15-16,0.49988450548084373,-0.08800000000000001
19-20,0.5669481716808427,-0.6279999999999999
18-19,0.5880554640046453,-0.25000000000000006
14-15,0.6681666615112917,0.5800000000000001
16-17,0.5425543049237982,0.29750000000000004
22-23,0.5876625835331158,-0.36999999999999994
24-25,0.6458079763504828,-0.09
23-24,0.7378528982564203,0.51
20-21,0.7074484200667213,0.356
17-18,0.6011960874373241,-0.1975
