weeks,next_weeks_weight,change
27-28,0.9362372566360015,0.298
26-27,0.7329525103000631,-0.061999999999999986
25-26,0.38001666511145044,0.07199999999999997
21-22,0.6813257337196685,-0.22600000000000003
15-16,0.7026733666055527,-0.08800000000000001
19-20,0.2806479794381785,-0.6279999999999999
18-19,0.45483576701766787,-0.25000000000000006
14-15,0.5597491751892275,0.5800000000000001
16-17,0.3330174100733047,0.29750000000000004
22-23,0.5858831913333638,-0.36999999999999994
24-25,0.5960991517331368,-0.09
23-24,0.5315039218571058,0.51
20-21,0.6819027577000668,0.356
17-18,0.47461931589002093,-0.1975
