weeks,next_weeks_weight,change
27-28,0.713200138399665,0.3161538461538462
26-27,0.5568123842364532,-0.06199999999999995
25-26,0.43419302603956444,0.18545454545454546
21-22,0.4671315021751479,-0.32692307692307687
15-16,0.471120551229214,-0.08800000000000004
19-20,0.4771296073339723,-0.7107692307692308
18-19,0.47184614084233245,-0.24999999999999997
14-15,0.5185521296692543,0.58
16-17,0.4312534751860786,0.2975
22-23,0.5178679750848619,0.08555555555555555
24-25,0.568149699452327,0.11571428571428573
23-24,0.5938019974564946,0.51
20-21,0.561172258744478,0.43454545454545457
17-18,0.478579831367641,-0.24699999999999994
